index,EY,B/P,S/P,CFY,DY,Compo_Zscore,Last_updated,UpdateMode,URL,Name,EY_Zscore,B/P_Zscore,S/P_Zscore,CFY_Zscore,DY_Zscore,P/E1,P/B,P/S,P/CF,EG,HG,SG,CFG,BG,Composite,Basic Materials,Consumer Cyclical,Financial Services,Real Estate,Communication Services,Energy,Industrials,Technology,Consumer Defensive,Healthcare,Utilities,Date
ILF,10.799136069114471,0.6666666666666666,0.8474576271186441,23.640661938534276,6.55,3.2708891172624748,2025-08-15,Selenium,https://www.morningstar.com/etfs/arcx/ILF/portfolio,iShares Latin America 40 ETF,3.929501087020983,2.1493380408431504,1.664270783328267,4.573376157609364,4.037959517510609,9.26,1.5,1.18,4.23,8.89,-5.9,6.1,10.31,10.5,,,,,,,,,,,,,2025-08-15
EWW,10.799136069114471,0.6666666666666666,0.8474576271186441,23.640661938534276,6.55,3.2708891172624748,2025-08-20,Selenium,https://www.morningstar.com/etfs/arcx/EWW/portfolio,iShares MSCI Mexico ETF,3.929501087020983,2.1493380408431504,1.664270783328267,4.573376157609364,4.037959517510609,9.26,1.5,1.18,4.23,8.89,-5.9,6.1,10.31,10.5,,,,,,,,,,,,,2025-08-20
EWZ,10.799136069114471,0.6666666666666666,0.8474576271186441,23.640661938534276,6.55,3.2708891172624748,2025-08-19,Selenium,https://www.morningstar.com/etfs/arcx/EWZ/portfolio,iShares MSCI Brazil ETF,3.929501087020983,2.1493380408431504,1.664270783328267,4.573376157609364,4.037959517510609,9.26,1.5,1.18,4.23,8.89,-5.9,6.1,10.31,10.5,,,,,,,,,,,,,2025-08-19
DISV,8.368200836820085,0.8333333333333334,1.4285714285714286,17.699115044247787,3.91,2.800085738981517,2025-08-20,Selenium,https://www.morningstar.com/etfs/bats/DISV/portfolio,Dimensional International Sm Cp Val ETF,2.2656067591707276,3.1904236543765516,3.976470092737377,2.84237932756091,1.725548861062018,11.95,1.2,0.7,5.65,8.84,-0.48,3.62,8.32,4.59,,,,,,,,,,,,,2025-08-20
FYLD,8.368200836820085,0.8333333333333334,1.4285714285714286,17.699115044247787,3.91,2.800085738981517,2025-08-15,Selenium,https://www.morningstar.com/etfs/bats/FYLD/portfolio,Cambria Foreign Shareholder Yield ETF,2.2656067591707276,3.1904236543765516,3.976470092737377,2.84237932756091,1.725548861062018,11.95,1.2,0.7,5.65,8.84,-0.48,3.62,8.32,4.59,,,,,,,,,,,,,2025-08-15
AVDV,8.368200836820085,0.8333333333333334,1.4285714285714286,17.699115044247787,3.91,2.800085738981517,2025-08-15,Selenium,https://www.morningstar.com/etfs/arcx/AVDV/portfolio,Avantis International Small Cap Val ETF,2.2656067591707276,3.1904236543765516,3.976470092737377,2.84237932756091,1.725548861062018,11.95,1.2,0.7,5.65,8.84,-0.48,3.62,8.32,4.59,,,,,,,,,,,,,2025-08-15
GVAL,8.368200836820085,0.8333333333333334,1.4285714285714286,17.699115044247787,3.91,2.800085738981517,2025-08-20,Selenium,https://www.morningstar.com/etfs/bats/GVAL/portfolio,Cambria Global Value ETF,2.2656067591707276,3.1904236543765516,3.976470092737377,2.84237932756091,1.725548861062018,11.95,1.2,0.7,5.65,8.84,-0.48,3.62,8.32,4.59,,,,,,,,,,,,,2025-08-20
IVAL,8.445945945945946,0.7518796992481203,1.0204081632653061,15.151515151515152,4.25,2.2952790236571134,2025-08-15,Selenium,https://www.morningstar.com/etfs/xnas/IVAL/portfolio,Alpha Architect Intl Quant Val ETF,2.318820701020805,2.6816224146797767,2.3524253397000257,2.100167338492439,2.0233593243925183,11.84,1.33,0.98,6.6,8.16,2.25,3.78,2.74,4.44,,,,,,,,,,,,,2025-08-15
PXF,8.445945945945946,0.7518796992481203,1.0204081632653061,15.151515151515152,4.25,2.2952790236571134,2025-08-15,Selenium,https://www.morningstar.com/etfs/arcx/PXF/portfolio,Invesco RAFI Developed Markets ex-US ETF,2.318820701020805,2.6816224146797767,2.3524253397000257,2.100167338492439,2.0233593243925183,11.84,1.33,0.98,6.6,8.16,2.25,3.78,2.74,4.44,,,,,,,,,,,,,2025-08-15
DFIV,8.445945945945946,0.7518796992481203,1.0204081632653061,15.151515151515152,4.25,2.2952790236571134,2025-08-15,Selenium,https://www.morningstar.com/etfs/arcx/DFIV/portfolio,Dimensional International Value ETF,2.318820701020805,2.6816224146797767,2.3524253397000257,2.100167338492439,2.0233593243925183,11.84,1.33,0.98,6.6,8.16,2.25,3.78,2.74,4.44,,,,,,,,,,,,,2025-08-15
