index,EY,B/P,S/P,CFY,DY,Compo_Zscore,Last_updated,UpdateMode,URL,Name,EY_Zscore,B/P_Zscore,S/P_Zscore,CFY_Zscore,DY_Zscore,P/E1,P/B,P/S,P/CF,EG,HG,SG,CFG,BG,Composite,Basic Materials,Consumer Cyclical,Financial Services,Real Estate,Communication Services,Energy,Industrials,Technology,Consumer Defensive,Healthcare,Utilities,Date
GXG,18.5185185185185,1.47058823529412,1.88679245283019,59.1715976331361,17.16,4.0009259676418,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/GXG/portfolio,Global X MSCI Colombia ETF,3.6626480912455,3.40181964032734,2.25308159269398,5.01603296616585,5.67104754777633,5.4,0.68,0.53,1.69,5.0,46.89,20.64,40.2,9.71,,15.26,0.0,37.12,0.0,2.74,24.44,2.45,0.0,0.0,0.0,17.99,2023-11-27
IVAL,13.7362637362637,1.04166666666667,2.5,61.7283950617284,6.59,2.87708620283626,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/IVAL/portfolio,Alpha Architect Intl Quant Val ETF,2.18028860081183,1.9931443263029,3.34467876248762,5.27680088367775,1.59051844090119,7.28,0.96,0.4,1.62,9.42,32.9,4.35,9.63,10.06,,16.78,30.58,0.0,1.63,0.0,17.88,18.66,6.57,1.98,0.0,5.94,2023-11-27
ECOW,12.2549019607843,0.909090909090909,2.17391304347826,39.8406374501992,12.38,2.58264942294125,2023-11-27,Selenium,https://www.morningstar.com/etfs/xnas/ECOW/portfolio,Pacer Emerging Markets Cash Cows 100 ETF,1.72110965978263,1.55773559287717,2.76419732436993,3.0444672198778,3.82573731779874,8.16,1.1,0.46,2.51,10.3,32.38,16.88,44.39,9.39,,20.26,9.67,0.0,0.0,10.07,23.99,12.93,11.37,7.51,1.45,2.75,2023-11-27
EUFN,13.7362637362637,1.13636363636364,1.03092783505155,65.7894736842105,5.91,2.44659109989724,2023-11-27,Selenium,https://www.morningstar.com/etfs/xnas/EUFN/portfolio,iShares MSCI Europe Financials ETF,2.18028860081183,2.30415056446414,0.729520118596601,5.69099052709421,1.32800568851944,7.28,0.88,0.97,1.52,14.59,16.47,1.06,26.93,0.75,,0.0,0.0,96.93,0.0,0.0,0.0,0.88,2.19,0.0,0.0,0.0,2023-11-27
EMVL,15.625,1.49253731343284,2.0,28.6532951289398,6.47,2.42838330727556,2023-11-27,Selenium,https://www.morningstar.com/etfs/xlon/EMVL/portfolio,iShares Edge MSCI EM Val Fac ETF USD Acc,2.76574175062407,3.47390537068253,2.4546072240405,1.90346952996157,1.54419266106912,6.4,0.67,0.5,3.49,8.18,19.62,12.85,17.1,9.11,,13.32,9.17,20.6,4.43,4.52,10.07,6.49,18.96,4.24,4.98,3.22,2023-11-27
REM,16.366612111293,1.31578947368421,0.246305418719212,27.6243093922652,15.04,2.37459480482294,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/REM/portfolio,iShares Mortgage Real Estate Capped ETF,2.99561987327761,2.89342554203281,-0.667220043813432,1.79852321520803,4.8526254374097,6.11,0.76,4.06,3.62,10.27,87.62,5.83,37.37,-13.86,,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-27
GREK,19.0114068441065,1.17647058823529,1.66666666666667,37.593984962406,4.78,2.36392568236447,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/GREK/portfolio,Global X MSCI Greece ETF,3.81542909527531,2.43587085356773,1.86122619840909,2.81533100280279,0.891771261767414,5.26,0.85,0.6,2.66,11.3,38.17,2.1,16.35,-31.06,,3.41,12.6,37.16,2.34,4.06,9.23,18.35,0.0,1.81,0.0,11.06,2023-11-27
FYLD,12.531328320802,1.13636363636364,1.88679245283019,32.0512820512821,10.72,2.35979074031328,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/FYLD/portfolio,Cambria Foreign Shareholder Yield ETF,1.80679376839573,2.30415056446414,2.25308159269398,2.25003041255747,3.18489736345505,7.98,0.88,0.53,3.12,6.78,25.21,13.99,27.7,7.72,,18.05,6.29,21.01,1.28,4.53,21.76,19.51,4.32,3.25,0.0,0.0,2023-11-27
TUR,20.6185567010309,0.757575757575758,2.08333333333333,36.6300366300366,5.32,2.3587863784865,2023-11-27,Selenium,https://www.morningstar.com/etfs/xnas/TUR/portfolio,iShares MSCI Turkey ETF,4.31359867248003,1.06012561181918,2.60295248044835,2.71701785667317,1.10023727101175,4.85,1.32,0.48,2.73,11.74,133.92,78.87,90.58,53.48,,16.38,11.78,15.73,1.42,3.88,7.46,25.64,1.24,11.69,1.74,3.03,2023-11-27
GVAL,14.4508670520231,1.2987012987013,1.72413793103448,32.6797385620915,7.67,2.30484187197175,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/GVAL/portfolio,Cambria Global Value ETF,2.40179478466092,2.83730411559769,1.96353327179382,2.31412672841648,2.00745045938985,6.92,0.77,0.58,3.06,9.41,27.58,17.85,6.31,5.14,,10.93,5.31,35.06,6.64,1.49,8.6,10.81,1.54,4.25,0.59,14.79,2023-11-27
DISV,12.4843945068664,1.42857142857143,2.56410256410256,27.4725274725275,5.45,2.28966592214038,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/DISV/portfolio,Dimensional International Sm Cp Val ETF,1.79224565507316,3.26382695650454,3.45879049818597,1.78304296844177,1.15042353249649,8.01,0.7,0.39,3.64,14.26,11.93,6.11,-4.72,5.39,,18.01,13.92,22.3,3.35,2.68,6.35,22.56,4.43,3.64,2.34,0.43,2023-11-27
EYLD,14.1442715700141,0.980392156862745,1.92307692307692,24.8756218905473,10.54,2.20998607538184,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/EYLD/portfolio,Cambria Emerging Shareholder Yield ETF,2.30675912822402,1.79190499572798,2.31767314120248,1.51818441804779,3.11540869370694,7.07,1.02,0.52,4.02,10.65,22.26,14.2,21.61,6.08,,11.57,9.33,14.88,1.06,0.0,17.11,10.59,24.38,4.7,2.25,4.13,2023-11-27
EWO,15.552099533437,1.20481927710843,2.08333333333333,26.3157894736842,5.77,2.16281954048067,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/EWO/portfolio,iShares MSCI Austria ETF,2.74314473240001,2.52897435108672,2.60295248044835,1.66506719308622,1.27395894538202,6.43,0.83,0.48,3.8,10.31,40.33,22.05,26.91,9.12,,10.64,0.0,39.45,6.08,0.0,12.89,14.15,2.02,1.05,0.0,13.71,2023-11-27
ITKY,14.7492625368732,0.740740740740741,2.08333333333333,35.5871886120996,6.44,2.04906914373949,2023-08-28,Selenium,https://www.morningstar.com/etfs/xams/ITKY/portfolio,iShares MSCI Turkey ETF USD Dist,2.49428868116165,1.00483561392385,2.60295248044835,2.61065772705251,1.5326112161111,6.78,1.35,0.48,2.81,22.31,141.71,92.35,111.76,55.93,,14.79,12.11,22.47,0.0,5.54,10.01,26.14,0.0,8.94,0.0,0.0,2023-08-28
DEM,14.1442715700141,1.03092783505155,1.36986301369863,25.1889168765743,10.4,2.04180145571993,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/DEM/portfolio,WisdomTree Emerging Markets High Div ETF,2.30675912822402,1.95787557764544,1.33287323038112,1.55013739177953,3.06136195056952,7.07,0.97,0.73,3.97,6.16,27.61,14.27,14.23,6.27,,14.39,4.34,25.61,1.75,2.3,20.58,4.25,16.8,4.25,0.3,5.44,2023-11-27
EXX1,17.5746924428823,1.66666666666667,0.847457627118644,12.853470437018,7.54,2.01362012572891,2023-11-27,Selenium,https://www.morningstar.com/etfs/xetr/EXX1/portfolio,iShares EURO STOXX Banks 30-15 ETF (DE),3.3700895379602,4.04578549816709,0.402916898128499,0.292044496483668,1.9572641979051,5.69,0.6,1.18,7.78,16.2,18.75,6.28,,5.48,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-27
QVAL,13.2100396301189,0.806451612903226,1.96078431372549,39.2156862745098,4.75,1.89670707189813,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/QVAL/portfolio,Alpha Architect US Quantitative Val ETF,2.01717447717014,1.22064496054756,2.38479769161328,2.98072841335027,0.880189816809396,7.57,1.24,0.51,2.55,11.21,53.22,21.86,37.81,15.85,,4.14,26.35,0.0,0.0,5.84,33.53,18.6,3.86,3.87,3.81,0.0,2023-11-27
DFEV,13.0718954248366,1.21951219512195,1.75438596491228,24.4498777506112,5.41,1.83574129400187,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/DFEV/portfolio,Dimensional Emerging Markets Value ETF,1.97435380301692,2.57722921260572,2.01737909989104,1.47476274860989,1.1349816058858,7.65,0.82,0.57,4.09,9.57,10.97,10.39,7.04,4.04,,13.58,9.01,29.45,3.66,2.82,11.15,9.0,15.87,2.18,2.17,1.1,2023-11-27
EWI,12.8369704749679,0.869565217391305,1.42857142857143,40.650406504065,5.5,1.81272447527873,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/EWI/portfolio,iShares MSCI Italy ETF,1.9015339210086,1.42792429347074,1.43738260867237,3.12705561248208,1.16972594075986,7.79,1.15,0.7,2.46,16.56,27.77,9.72,-3.52,5.26,,0.0,21.5,28.89,1.91,1.6,7.66,9.2,2.16,2.36,5.6,19.12,2023-11-27
XOP,12.7064803049555,0.869565217391305,1.53846153846154,35.7142857142857,5.88,1.7724114812851,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/XOP/portfolio,SPDR® S&P Oil & Gas Explor & Prodtn ETF,1.86108577453093,1.42792429347074,1.63300272701239,2.62362036785003,1.31642424356142,7.87,1.15,0.65,2.8,12.94,104.39,41.35,76.54,12.49,,1.32,0.0,0.0,0.0,0.0,98.68,0.0,0.0,0.0,0.0,0.0,2023-11-27
PXH,13.7362637362637,1.01010101010101,1.66666666666667,25.974025974026,5.81,1.77012039309334,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/PXH/portfolio,Invesco FTSE RAFI Emerging Markets ETF,2.18028860081183,1.88947558024916,1.86122619840909,1.6302107140039,1.28940087199271,7.28,0.99,0.6,3.85,7.74,12.94,11.83,8.96,7.08,,10.25,8.63,29.92,2.22,7.46,13.7,4.3,14.16,5.27,0.85,3.22,2023-11-27
DGS,11.8063754427391,1.03092783505155,1.72413793103448,22.6757369614512,7.37,1.73778848167036,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/DGS/portfolio,WisdomTree Emerging Markets SmCp Div ETF,1.58207952211563,1.95787557764544,1.96353327179382,1.29381802698722,1.89163600980967,8.47,0.97,0.58,4.41,9.37,21.05,11.27,12.16,7.25,,12.23,12.58,14.41,6.11,2.75,4.33,13.95,18.76,6.2,3.32,5.36,2023-11-27
DFIV,12.0772946859903,1.14942528735632,1.66666666666667,24.390243902439,5.35,1.69096603303158,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/DFIV/portfolio,Dimensional International Value ETF,1.66605658516648,2.34704797662431,1.86122619840909,1.46868068898827,1.11181871596976,8.28,0.87,0.6,4.1,9.84,22.44,9.6,12.92,7.26,,13.41,13.49,27.5,2.15,3.42,14.81,10.36,1.95,4.6,7.2,1.11,2023-11-27
EPOL,11.4155251141553,1.02040816326531,1.75438596491228,27.7777777777778,4.1,1.56901339884098,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/EPOL/portfolio,iShares MSCI Poland ETF,1.46092732084329,1.92332659936875,2.01737909989104,1.81417546471615,0.629258509385665,8.76,0.98,0.57,3.6,9.4,30.06,21.55,9.76,-2.99,,8.1,10.38,44.85,0.0,5.93,11.73,2.7,2.57,8.67,0.0,5.08,2023-11-27
SYLD,11.6550116550117,0.775193798449612,1.92307692307692,29.585798816568,4.23,1.52976838951108,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/SYLD/portfolio,Cambria Shareholder Yield ETF,1.53516116300221,1.1179872375236,2.31767314120248,1.99857563495671,0.679444770870411,8.58,1.29,0.52,3.38,13.1,37.8,20.55,44.35,7.54,,15.37,17.83,18.08,0.0,1.79,22.61,11.99,4.74,2.12,5.46,0.0,2023-11-27
ILF,14.1242937853107,0.75187969924812,0.88495575221239,26.8817204301075,7.43,1.48984788340837,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/ILF/portfolio,iShares Latin America 40 ETF,2.30056659769159,1.04141846967415,0.469668925910644,1.72278652403974,1.9147988997257,7.08,1.33,1.13,3.72,9.08,43.09,14.68,9.97,6.71,,21.81,1.77,30.55,1.02,4.86,14.06,7.92,0.0,14.13,1.18,2.71,2023-11-27
EWZ,14.1843971631206,0.806451612903226,1.20481927710843,26.3157894736842,5.57,1.48814602458881,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/EWZ/portfolio,iShares MSCI Brazil ETF,2.31919689167637,1.22064496054756,1.03907176530532,1.66506719308622,1.19674931232856,7.05,1.24,0.83,3.8,12.59,37.96,21.94,8.59,10.83,,19.28,2.37,24.65,0.0,2.44,19.99,11.41,0.73,6.14,3.39,9.58,2023-11-27
EWY,11.3122171945701,1.25,1.85185185185185,20.0,2.67,1.47905486916872,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/EWY/portfolio,iShares MSCI South Korea ETF,1.42890487912768,2.67735805025763,2.19088232375987,1.02091945964494,0.0772096330534557,8.84,0.8,0.54,5.0,18.15,15.85,13.13,1.88,9.27,,10.79,9.03,11.2,0.0,6.83,1.78,11.76,39.23,2.94,5.88,0.57,2023-11-27
DFSV,11.3765642775882,1.11111111111111,1.72413793103448,24.9376558603491,2.62,1.44320358567238,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/DFSV/portfolio,Dimensional US Small Cap Value ETF,1.44885059794372,2.22121556762114,1.96353327179382,1.52451126621312,0.0579072247900918,8.79,0.9,0.58,4.01,13.26,13.54,6.28,4.0,-2.83,,7.49,15.1,26.45,1.55,3.06,10.47,17.64,7.68,5.41,5.01,0.14,2023-11-27
EFV,11.037527593819,0.99009900990099,1.36986301369863,21.7864923747277,5.35,1.36307189508269,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/EFV/portfolio,iShares MSCI EAFE Value ETF,1.34375911522823,1.82378449364084,1.33287323038112,1.20312392019351,1.11181871596976,9.06,1.01,0.73,4.59,10.21,16.97,10.46,11.18,6.97,,9.41,8.91,28.82,3.7,4.45,8.97,14.03,1.43,6.09,8.5,5.69,2023-11-27
MLXIX,8.95255147717099,0.355871886120996,2.32558139534884,30.2114803625378,5.74,1.35945436430589,2023-11-27,Selenium,https://www.morningstar.com/funds/xnas/MLXIX/portfolio,Catalyst Energy Infrastructure I,0.69747733507107,-0.259160636893265,3.0341886909363,2.06238893199134,1.262377500424,11.17,2.81,0.43,3.31,5.82,15.13,33.5,9.95,-3.74,,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2023-11-27
PICK,9.92063492063492,0.813008130081301,1.35135135135135,21.0084033613445,7.15,1.29402496435055,2023-11-27,Selenium,https://www.morningstar.com/etfs/bats/PICK/portfolio,iShares MSCI Global Mtls&Mng Prdcrs ETF,0.997554964827519,1.24217804391357,1.29991982281181,1.12376657674901,1.80670541345087,10.08,1.23,0.74,4.76,9.41,22.01,18.96,23.19,14.55,,97.02,0.0,0.14,0.0,0.0,0.03,2.79,0.01,0.0,0.0,0.0,2023-11-27
PXF,10.5932203389831,0.952380952380952,1.47058823529412,20.7900207900208,4.69,1.27532917762197,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/PXF/portfolio,Invesco FTSE RAFI Dev Mkts ex-US ETF,1.20603682608577,1.69990987317945,1.51217853627296,1.10149372567831,0.85702692689336,9.44,1.05,0.68,4.81,10.15,15.53,9.64,8.16,7.12,,9.03,10.08,25.61,2.37,4.71,9.34,13.98,6.75,7.18,6.54,4.41,2023-11-27
EWP,11.2485939257593,0.980392156862745,1.0989010989011,20.4081632653061,5.42,1.25060018263703,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/EWP/portfolio,iShares MSCI Spain ETF,1.40918352160316,1.79190499572798,0.850522253652287,1.06254805466326,1.13884208753847,8.89,1.02,0.91,4.9,9.04,10.73,13.0,3.47,8.03,,0.0,8.88,32.88,4.22,4.45,4.24,14.27,0.0,0.0,2.12,28.95,2023-11-27
XRT,9.62463907603465,0.564971751412429,2.85714285714286,19.723865877712,2.31,1.24896168063315,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/XRT/portfolio,SPDR® S&P Retail ETF,0.905804886809872,0.427570551152254,3.9804441470927,0.992756524553657,-0.0617677064427647,10.39,1.77,0.35,5.07,9.21,11.28,9.62,-25.64,8.8,,0.0,78.15,0.0,0.0,0.0,1.41,0.0,1.12,17.03,2.3,0.0,2023-11-27
IWN,10.5263157894737,0.99009900990099,1.38888888888889,24.8138957816377,3.39,1.24857563039153,2023-11-27,Selenium,https://www.morningstar.com/etfs/arcx/IWN/portfolio,iShares Russell 2000 Value ETF,1.18529836725534,1.82378449364084,1.36674201038291,1.51188896863265,0.355164312045897,9.5,1.01,0.72,4.03,12.91,14.46,9.56,4.99,1.44,,5.06,10.67,23.05,12.72,2.35,9.87,12.9,7.29,3.46,8.52,4.09,2023-11-27
